Date,open,Hour,Min,classification
20210101,14032.95,13,33,1
20210101,14033.2,13,34,-1
20210101,14032.25,13,35,-1
20210101,14031.0,13,36,-1
20210101,14030.9,13,37,-1
20210101,14028.85,13,38,1
20210101,14030.65,13,39,-1
20210101,14029.9,13,40,1
20210101,14030.1,13,41,-1
20210101,14024.9,13,42,-1
20210101,14024.35,13,43,-1
20210101,14024.9,13,44,1
20210101,14025.6,13,45,1
20210101,14025.1,13,46,-1
20210101,14024.65,13,47,-1
20210101,14024.0,13,48,1
20210101,14024.75,13,49,1
20210101,14030.25,13,50,1
20210101,14031.6,13,51,1
20210101,14033.0,13,52,1
20210101,14032.25,13,53,1
20210101,14032.65,13,54,1
20210101,14033.35,13,55,-1
20210101,14032.2,13,56,-1
20210101,14032.5,13,57,-1
20210101,14031.65,13,58,1
20210101,14032.0,13,59,1
20210101,14031.6,14,00,1
20210101,14033.8,14,01,-1
20210101,14033.5,14,02,1
20210101,14036.95,14,03,1
20210101,14036.95,14,04,-1
20210101,14036.4,14,05,1
20210101,14037.0,14,06,1
20210101,14037.4,14,07,1
20210101,14038.75,14,08,-1
20210101,14037.65,14,09,1
20210101,14038.05,14,10,1
20210101,14040.1,14,11,1
20210101,14040.7,14,12,1
20210101,14041.65,14,13,-1
20210101,14041.2,14,14,1
20210101,14042.0,14,15,1
20210101,14042.5,14,16,-1
20210101,14036.7,14,17,1
20210101,14038.7,14,18,1
20210101,14039.1,14,19,1
20210101,14039.9,14,20,1
20210101,14039.95,14,21,1
20210101,14042.45,14,22,1
20210101,14046.15,14,23,-1
20210101,14046.9,14,24,1
20210101,14047.75,14,25,1
20210101,14047.7,14,26,1
20210101,14047.85,14,27,1
20210101,14048.05,14,28,-1
20210101,14046.95,14,29,-1
20210101,14045.35,14,30,1
20210101,14045.6,14,31,-1
20210101,14045.5,14,32,1
20210101,14045.4,14,33,1
20210101,14046.8,14,34,-1
20210101,14046.95,14,35,-1
20210101,14046.7,14,36,-1
20210101,14044.8,14,37,-1
20210101,14041.9,14,38,-1
20210101,14040.8,14,39,1
20210101,14041.3,14,40,1
20210101,14042.35,14,41,1
20210101,14044.1,14,42,-1
20210101,14042.8,14,43,-1
20210101,14042.05,14,44,1
20210101,14043.3,14,45,1
20210101,14044.25,14,46,1
20210101,14044.55,14,47,-1
20210101,14041.1,14,48,1
20210101,14041.9,14,49,-1
20210101,14042.05,14,50,-1
20210101,14040.85,14,51,1
20210101,14042.1,14,52,-1
20210101,14040.9,14,53,1
20210101,14042.0,14,54,1
20210101,14042.0,14,55,1
20210101,14042.25,14,56,-1
20210101,14042.2,14,57,-1
20210101,14041.1,14,58,1
20210101,14040.9,14,59,-1
